entrez	gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
552889	ATXN7L3B	-0.07355142857143011	12.47076775510204	-1.0570030842690696	0.31697895768924045	0.6289905645886847	-6.437419489670272
126282	TNFAIP8L1	0.12282337301587255	8.285327006802722	1.0569765576585057	0.31699045027921974	0.6289905645886847	-6.437446970449192
51399	TRAPPC4	-0.07377781746031752	11.428502993197279	-1.0568970036527707	0.31702491877086014	0.6289905645886847	-6.4375293827836
119391	GSTO2	0.1493491666666662	4.332479047619048	1.0567981164561362	0.3170677677803996	0.6289919554294714	-6.437631816148685
4948	OCA2	-0.10071242063492103	5.44667925170068	-1.0567622178525216	0.31708332417191976	0.6289925670072903	-6.4376690002408345
5230	PGK1	0.08001047619047373	12.193578843537415	1.0565678743629099	0.3171675516022224	0.6290589406603294	-6.437870285730379
5688	PSMA7	0.07185011904761748	11.723885782312925	1.056545556423647	0.317177225172805	0.6290589406603294	-6.437893399011113
730094	MOSMO	-0.09634861111111076	8.986726666666666	-1.0565241060724075	0.31718652290540233	0.6290589406603294	-6.437915613424332
55586	MIOX	-0.08510829365079459	4.227306530612245	-1.056181502183116	0.31733505404901863	0.62922893923869	-6.43827037285891
76880	6430411K18Rik	-0.08204829365079487	5.018620340136055	-1.056157303558517	0.3173455470356966	0.62922893923869	-6.43829542663073
12848	Cops2	0.07770837301587141	9.59768081632653	1.0560103098284257	0.31740929202881535	0.6292793740292585	-6.438447605235051
125206	SLC5A10	-0.08871738095238056	6.636149591836735	-1.0556586128241556	0.3175618479374087	0.6294676642336163	-6.43881164002656
207	AKT1	-0.13616111111111304	9.475362380952381	-1.0555793024304125	0.31759625821672366	0.6294676642336163	-6.438893719522177
4594	MMUT	0.08221079365079306	3.0248615646258505	1.0554572338085793	0.3176492255111426	0.6294866619663497	-6.439020040670259
8985	PLOD3	0.1149528174603157	9.133123673469388	1.0554046950689067	0.31767202488828267	0.6294866619663497	-6.439074406177786
10652	YKT6	-0.07761956349206423	11.543868979591837	-1.0553486854951453	0.3176963318236747	0.6294866619663497	-6.439132360858088
6641	SNTB1	-0.12302053571428592	4.279694693877551	-1.0550866083407369	0.3178100864859565	0.6295758207318981	-6.43940350734177
55316	RSAD1	0.12278396825396785	3.8061040136054416	1.054900430060506	0.3178909161265167	0.6295783155712654	-6.439596096273876
75829	Prame	-0.09638698412698479	4.131488707482993	-1.0548649582856944	0.3179063180435725	0.6295783155712654	-6.439632786414064
55262	C7orf43	-0.08332412698412907	8.91619081632653	-1.0547943463967968	0.31793697956699724	0.6295783155712654	-6.439705820755481
71996	Fthl17a	-0.09961402777777702	5.684647142857142	-1.0543998027748147	0.31810834227627777	0.629779392695773	-6.440113829092404
10629	TAF6L	0.0849071825396823	8.087209659863944	1.0541467809526262	0.31821827474020437	0.629941728879338	-6.440375422715173
6520	SLC3A2	-0.07528269841270065	10.438039013605442	-1.0534504219452832	0.3185209773591987	0.630291970861584	-6.4410951178727265
11155	LDB3	-0.14529085317460402	5.543246020408162	-1.0530824879748855	0.31868100455457393	0.6304815243027633	-6.441475230896471
56156	TEX13B	-0.10356472222222338	4.783328571428571	-1.0530082566129864	0.3187132977782765	0.6305065550968527	-6.441551906742936
8808	IL1RL2	0.13849992063492017	6.071880986394557	1.0525118199428716	0.3189293292135876	0.6307402620855959	-6.442064582066459
175	AGA	-0.11366313492063565	8.055998843537415	-1.0524316382199688	0.3189642319053153	0.6307816286574421	-6.442147368725198
28951	TRIB2	-0.07727226190476126	11.232871564625851	-1.0521936422617957	0.31906784749071265	0.6307925226623874	-6.442393067444136
2643	GCH1	0.13047007936508012	4.802399965986394	1.0520229624649435	0.3191421716563233	0.6308292537963728	-6.442569244382118
68171	D730048I06Rik	-0.12665912698412712	3.926507006802721	-1.0518483100150748	0.3192182394277313	0.6309243094101454	-6.442749498636574
482	ATP1B2	-0.12235835317460383	5.875898401360544	-1.0516553567562927	0.3193022939800927	0.6310351325882372	-6.442948613292787
1339	COX6A2	-0.1213294841269861	7.400888231292517	-1.0514850313466857	0.3193765053904638	0.6311541394100126	-6.443124353651699
56941	HMCES	0.08793249999999782	9.449443333333333	1.0510423928695862	0.3195694261425426	0.6313623292352917	-6.4435809596047
23505	TMEM131	-0.07635067460317593	10.58130469387755	-1.0508904039436107	0.31963568990518537	0.6313623292352917	-6.443737709635474
77414	C030013G03Rik	0.09292374999999975	4.273392619047619	1.0508502311594479	0.31965320608896325	0.6313623292352917	-6.443779137863268
54344	DPM3	0.07682924603174486	6.5811168707483	1.0507034134093645	0.31971722796115465	0.631384827842895	-6.4439305332218275
77119	7630403G23Rik	-0.10510873015872986	3.3741689795918366	-1.050610439287972	0.3197577756454697	0.6314148538292065	-6.444026397554683
144577	C12orf66	0.11427742063492008	5.958924081632653	1.0506043477871685	0.3197604323952701	0.6314148538292065	-6.444032678183865
