Experiment_ID	Experiment_Type	Method	TF_Source_Type
exp_1087	binding	chip	not_applicable
exp_1088	binding	chip	not_applicable
exp_1089	binding	chip	not_applicable
exp_1090	binding	chip	not_applicable
exp_1091	binding	chip	not_applicable
exp_1092	binding	chip	not_applicable
exp_1093	binding	chip	not_applicable
exp_1094	binding	emsa	unknown
exp_1095	binding	emsa	unknown
exp_1096	binding	chip	not_applicable
exp_1098	binding	emsa	cell_line
exp_1101	binding	chip	not_applicable
exp_1102	binding	chip	not_applicable
exp_1103	binding	chip	not_applicable
exp_1104	binding	chip	not_applicable
exp_1113	binding	chip	not_applicable
exp_1114	binding	emsa	unknown
exp_1118	binding	chip	not_applicable
exp_1119	binding	emsa	unknown
exp_1121	binding	chip	not_applicable
exp_1122	binding	chip	not_applicable
exp_1134	binding	chip	not_applicable
exp_1135	binding	chip	not_applicable
exp_1136	binding	emsa	primary_tissue
exp_1139	binding	emsa	cell_line
exp_1140	binding	emsa	cell_line
exp_1141	binding	chip	not_applicable
exp_1142	binding	emsa	cell_line
exp_1143	binding	chip	not_applicable
exp_1150	binding	chip	not_applicable
exp_1151	binding	emsa	cell_line
exp_1156	binding	chip	not_applicable
exp_1157	binding	emsa	primary_tissue
exp_1159	binding	chip	not_applicable
exp_1160	binding	emsa	primary_tissue
exp_1162	binding	chip	not_applicable
exp_1163	binding	emsa	primary_tissue
exp_1165	binding	chip	not_applicable
exp_1166	binding	emsa	primary_tissue
exp_1177	binding	emsa	unknown
exp_1203	binding	chip	not_applicable
exp_1204	binding	emsa	unknown
exp_1243	binding	chip	not_applicable
exp_1246	binding	chip	not_applicable
exp_1265	binding	emsa	unknown
exp_1266	binding	emsa	primary_tissue
exp_1267	binding	emsa	cell_line
exp_1313	binding	emsa	unknown
exp_1315	binding	chip	not_applicable
exp_1316	binding	chip	not_applicable
exp_1318	binding	emsa	cell_line
exp_1320	binding	emsa	cell_line
exp_1321	binding	emsa	cell_line
exp_1325	binding	emsa	unknown
exp_1327	binding	emsa	unknown
exp_1331	binding	emsa	unknown
exp_1334	binding	emsa	unknown
exp_1336	binding	emsa	unknown
exp_1340	binding	emsa	cell_line
exp_1341	binding	emsa	cell_line
exp_1342	binding	emsa	cell_line
exp_1343	binding	emsa	unknown
exp_1346	binding	chip	not_applicable
exp_1348	binding	emsa	primary_cell
exp_1349	binding	chip	not_applicable
exp_1350	binding	emsa	unknown
exp_1354	binding	emsa	cell_line
exp_1355	binding	emsa	cell_line
exp_1356	binding	emsa	cell_line
exp_1358	binding	emsa	unknown
exp_1361	binding	emsa	cell_line
exp_1364	binding	emsa	cell_line
exp_1369	binding	emsa	cell_line
exp_1373	binding	emsa	unknown
exp_1375	binding	emsa	unknown
exp_1382	binding	chip	not_applicable
exp_1383	binding	emsa	unknown
exp_1385	binding	chip	not_applicable
exp_1386	binding	chip	not_applicable
exp_1397	binding	chip	not_applicable
exp_1399	binding	chip	not_applicable
exp_1401	binding	chip	not_applicable
exp_1405	binding	emsa	cell_line
