ChildNode	ParentNode	ChildNode_Long	ParentNode_Long	RelationType	OntologyScope
OBI_0001674	OBI_0000424	http://purl.obolibrary.org/obo/OBI_0001674	http://purl.obolibrary.org/obo/OBI_0000424	is_a	OBI
OBI_0001673	OBI_0000424	http://purl.obolibrary.org/obo/OBI_0001673	http://purl.obolibrary.org/obo/OBI_0000424	is_a	OBI
GO_0097392	GO_0032602	http://purl.obolibrary.org/obo/GO_0097392	http://purl.obolibrary.org/obo/GO_0032602	is_a	OBI
OBI_0000345	OBI_0000932	http://purl.obolibrary.org/obo/OBI_0000345	http://purl.obolibrary.org/obo/OBI_0000932	is_a	OBI
OBI_0000345	OBI_0000832	http://purl.obolibrary.org/obo/OBI_0000345	http://purl.obolibrary.org/obo/OBI_0000832	is_a	OBI
OBI_0001676	OBI_0001587	http://purl.obolibrary.org/obo/OBI_0001676	http://purl.obolibrary.org/obo/OBI_0001587	is_a	OBI
GO_0097391	GO_0032602	http://purl.obolibrary.org/obo/GO_0097391	http://purl.obolibrary.org/obo/GO_0032602	is_a	OBI
OBI_0001675	OBI_0001773	http://purl.obolibrary.org/obo/OBI_0001675	http://purl.obolibrary.org/obo/OBI_0001773	is_a	OBI
OBI_0001675	OBI_1110162	http://purl.obolibrary.org/obo/OBI_0001675	http://purl.obolibrary.org/obo/OBI_1110162	is_a	OBI
OBI_0001678	GO_0035746	http://purl.obolibrary.org/obo/OBI_0001678	http://purl.obolibrary.org/obo/GO_0035746	is_a	OBI
OBI_0001677	GO_0036262	http://purl.obolibrary.org/obo/OBI_0001677	http://purl.obolibrary.org/obo/GO_0036262	is_a	OBI
OBI_0001679	OBI_0001146	http://purl.obolibrary.org/obo/OBI_0001679	http://purl.obolibrary.org/obo/OBI_0001146	is_a	OBI
OBI_0000339	NA	http://purl.obolibrary.org/obo/OBI_0000339	NA	is_a	OBI
OBI_0000339	BFO_0000015	http://purl.obolibrary.org/obo/OBI_0000339	http://purl.obolibrary.org/obo/BFO_0000015	is_a	OBI
OBI_0001681	OBI_0001146	http://purl.obolibrary.org/obo/OBI_0001681	http://purl.obolibrary.org/obo/OBI_0001146	is_a	OBI
OBI_0001680	OBI_0001146	http://purl.obolibrary.org/obo/OBI_0001680	http://purl.obolibrary.org/obo/OBI_0001146	is_a	OBI
OBI_0001683	OBI_0001686	http://purl.obolibrary.org/obo/OBI_0001683	http://purl.obolibrary.org/obo/OBI_0001686	is_a	OBI
OBI_0001683	NA	http://purl.obolibrary.org/obo/OBI_0001683	NA	is_a	OBI
OBI_0001682	OBI_0001681	http://purl.obolibrary.org/obo/OBI_0001682	http://purl.obolibrary.org/obo/OBI_0001681	is_a	OBI
OBI_0001685	OBI_0000634	http://purl.obolibrary.org/obo/OBI_0001685	http://purl.obolibrary.org/obo/OBI_0000634	is_a	OBI
GO_0007049	GO_0008150	http://purl.obolibrary.org/obo/GO_0007049	http://purl.obolibrary.org/obo/GO_0008150	is_a	OBI
OBI_0001684	OBI_0000070	http://purl.obolibrary.org/obo/OBI_0001684	http://purl.obolibrary.org/obo/OBI_0000070	is_a	OBI
