Experiment_ID	Experiment_Type	Mutated	Binding_Verified
exp_3393	reporter	FALSE	not_applicable
exp_3395	reporter	FALSE	not_applicable
exp_3398	reporter	FALSE	not_applicable
exp_3400	reporter	TRUE	emsa
exp_3407	reporter	TRUE	putative
exp_3432	reporter	FALSE	not_applicable
exp_3435	reporter	FALSE	not_applicable
exp_3442	reporter	FALSE	not_applicable
exp_3454	reporter	TRUE	emsa
exp_3464	reporter	FALSE	not_applicable
exp_3465	reporter	FALSE	not_applicable
exp_3466	reporter	FALSE	not_applicable
exp_3469	reporter	FALSE	not_applicable
exp_3470	reporter	FALSE	not_applicable
exp_3473	reporter	FALSE	not_applicable
exp_3476	reporter	FALSE	not_applicable
exp_3477	reporter	FALSE	not_applicable
exp_3478	reporter	FALSE	not_applicable
exp_3479	reporter	FALSE	not_applicable
exp_3491	reporter	FALSE	not_applicable
exp_3492	reporter	FALSE	not_applicable
exp_3493	reporter	FALSE	not_applicable
exp_3495	reporter	FALSE	not_applicable
exp_3501	reporter	FALSE	not_applicable
exp_3512	reporter	FALSE	not_applicable
exp_3521	reporter	TRUE	putative
exp_3524	reporter	TRUE	emsa
exp_3526	reporter	FALSE	not_applicable
exp_3541	reporter	FALSE	not_applicable
exp_3544	reporter	TRUE	putative
exp_3548	reporter	TRUE	putative
exp_3549	reporter	TRUE	putative
exp_3551	reporter	TRUE	putative
exp_3554	reporter	TRUE	putative
exp_3557	reporter	TRUE	putative
exp_3558	reporter	TRUE	putative
exp_3566	reporter	TRUE	putative
exp_3570	reporter	FALSE	not_applicable
exp_3571	reporter	FALSE	not_applicable
exp_3573	reporter	FALSE	not_applicable
exp_3578	reporter	FALSE	not_applicable
exp_3579	reporter	FALSE	not_applicable
exp_3582	reporter	TRUE	putative
exp_3583	reporter	TRUE	putative
exp_3584	reporter	FALSE	not_applicable
exp_3595	reporter	TRUE	putative
exp_3601	reporter	FALSE	not_applicable
exp_3604	reporter	FALSE	not_applicable
exp_3605	reporter	FALSE	not_applicable
exp_3609	reporter	TRUE	emsa
exp_3626	reporter	TRUE	putative
exp_3630	reporter	FALSE	not_applicable
exp_3635	reporter	FALSE	not_applicable
exp_3642	reporter	FALSE	not_applicable
exp_3646	reporter	FALSE	not_applicable
exp_3652	reporter	FALSE	not_applicable
exp_3654	reporter	FALSE	not_applicable
exp_3657	reporter	FALSE	not_applicable
exp_3660	reporter	FALSE	not_applicable
exp_3661	reporter	FALSE	not_applicable
exp_3667	reporter	FALSE	not_applicable
exp_3669	reporter	TRUE	putative
exp_3675	reporter	FALSE	not_applicable
exp_3677	reporter	FALSE	not_applicable
exp_3678	reporter	FALSE	not_applicable
exp_3680	reporter	FALSE	not_applicable
exp_3682	reporter	FALSE	not_applicable
exp_3697	reporter	TRUE	putative
exp_3698	reporter	TRUE	putative
exp_3699	reporter	TRUE	putative
exp_3702	reporter	FALSE	not_applicable
exp_3703	reporter	FALSE	not_applicable
exp_3704	reporter	FALSE	not_applicable
exp_3705	reporter	FALSE	not_applicable
exp_3706	reporter	FALSE	not_applicable
exp_3707	reporter	FALSE	not_applicable
exp_3708	reporter	FALSE	not_applicable
exp_3709	reporter	FALSE	not_applicable
exp_3730	reporter	FALSE	not_applicable
exp_3733	reporter	FALSE	not_applicable
